%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1610713950481498724,1556,1610713950481219336,crazyflie/base_link,-1.5101820230484009,-0.5011829733848572,0.02567852847278118,-0.02629164233803749,0.012453935109078884,-0.04704819992184639,0.9984688758850098
1610713950492351257,1557,1610713950492101343,crazyflie/base_link,-1.5055807828903198,-0.4945679008960724,0.03695870563387871,-0.03459426388144493,0.013837706297636032,-0.05396705120801926,0.997847318649292
1610713950501618004,1558,1610713950501341915,crazyflie/base_link,-1.5043317079544067,-0.4908885955810547,0.03729040548205376,-0.03459426388144493,0.015221476554870605,-0.0567345917224884,0.9976736903190613
1610713950512572848,1559,1610713950512328602,crazyflie/base_link,-1.5038015842437744,-0.49062180519104004,0.03722536936402321,-0.035978034138679504,0.015221476554870605,-0.058118365705013275,0.997545063495636
1610713950521138218,1560,1610713950520881817,crazyflie/base_link,-1.5028061866760254,-0.4890173673629761,0.03297828882932663,-0.03874557837843895,0.015221476554870605,-0.05950213596224785,0.9973598122596741
1610713950531909431,1561,1610713950531688228,crazyflie/base_link,-1.5046499967575073,-0.4955361485481262,0.010759392753243446,-0.04428065940737724,0.009686394594609737,-0.0567345917224884,0.9973598122596741
1610713950542770949,1562,1610713950542454411,crazyflie/base_link,-1.5051771402359009,-0.4944627583026886,0.026993947103619576,-0.040129344910383224,0.009686394594609737,-0.0567345917224884,0.9975354671478271
1610713950553509040,1563,1610713950553211383,crazyflie/base_link,-1.5053929090499878,-0.4918099045753479,0.05169590935111046,-0.03321049362421036,0.01107016485184431,-0.0567345917224884,0.9977753758430481
1610713950562227060,1564,1610713950561964454,crazyflie/base_link,-1.5046180486679077,-0.4861585795879364,0.06443489342927933,-0.029059182852506638,0.015221476554870605,-0.05950213596224785,0.9976890087127686
1610713950572855757,1565,1610713950572624336,crazyflie/base_link,-1.5076909065246582,-0.490825891494751,0.05144018679857254,-0.023524099960923195,0.013837706297636032,-0.0567345917224884,0.9980161786079407
1610713950595113019,1566,1610713950594751490,crazyflie/base_link,-1.5099071264266968,-0.4952201247215271,0.05432842671871185,-0.020756559446454048,0.01107016485184431,-0.05535082519054413,0.9981898069381714
1610713950602527997,1567,1610713950602263936,crazyflie/base_link,-1.5104888677597046,-0.4961342513561249,0.05495209991931915,-0.019372789189219475,0.01107016485184431,-0.05535082519054413,0.9982176423072815
1610713950613375572,1568,1610713950613072981,crazyflie/base_link,-1.5103710889816284,-0.49565747380256653,0.05653609707951546,-0.019372789189219475,0.01107016485184431,-0.0567345917224884,0.9981399178504944
1610713950621939479,1569,1610713950621676579,crazyflie/base_link,-1.5030337572097778,-0.48040032386779785,0.08449676632881165,-0.031826723366975784,0.015221476554870605,-0.06642098724842072,0.9971678256988525
1610713950634810014,1570,1610713950634521537,crazyflie/base_link,-1.5059078931808472,-0.48693332076072693,0.060201965272426605,-0.03044295310974121,0.012453935109078884,-0.06365344673395157,0.9974299073219299
1610713950642270562,1571,1610713950641935570,crazyflie/base_link,-1.5058811902999878,-0.48622164130210876,0.061688460409641266,-0.03044295310974121,0.012453935109078884,-0.06503721326589584,0.9973406195640564
1610713950652809193,1572,1610713950652457264,crazyflie/base_link,-1.503218650817871,-0.47908657789230347,0.06433261185884476,-0.027675412595272064,0.017989017069339752,-0.06918852776288986,0.9970573782920837
1610713950661097585,1573,1610713950660818352,crazyflie/base_link,-1.5062239170074463,-0.48668694496154785,0.07535780221223831,-0.02629164233803749,0.012453935109078884,-0.06503721326589584,0.9974586963653564
1610713950672164925,1574,1610713950671860096,crazyflie/base_link,-1.5094895362854004,-0.4920887351036072,0.05866968631744385,-0.01107016485184431,0.015221476554870605,-0.062269676476716995,0.9978818893432617
1610713950680752153,1575,1610713950680538733,crazyflie/base_link,-1.5094667673110962,-0.49348196387290955,0.06718690693378448,-0.013837706297636032,0.013837706297636032,-0.062269676476716995,0.9978674650192261
1610713950693644391,1576,1610713950693369139,crazyflie/base_link,-1.5065821409225464,-0.48734161257743835,0.0681564211845398,-0.012453935109078884,0.01660524681210518,-0.06503721326589584,0.9976669549942017
1610713950703213810,1577,1610713950702899801,crazyflie/base_link,-1.5105315446853638,-0.49653738737106323,0.07864107936620712,-0.012453935109078884,0.01107016485184431,-0.05950213596224785,0.998089075088501
1610713950712036397,1578,1610713950711739157,crazyflie/base_link,-1.5114243030548096,-0.497808575630188,0.08856891840696335,-0.006918853148818016,0.01107016485184431,-0.058118365705013275,0.9982243776321411
1610713950722010521,1579,1610713950721743105,crazyflie/base_link,-1.509716272354126,-0.49369850754737854,0.089150071144104,-0.009686394594609737,0.012453935109078884,-0.05950213596224785,0.9981034994125366
1610713950732551370,1580,1610713950732279199,crazyflie/base_link,-1.514880895614624,-0.5043807625770569,0.07082439959049225,0.005535082425922155,0.01107016485184431,-0.05396705120801926,0.9984660148620605
1610713950741110742,1581,1610713950740834084,crazyflie/base_link,-1.5185271501541138,-0.5131327509880066,0.05292042717337608,0.012453935109078884,0.009686394594609737,-0.049815740436315536,0.9986338019371033
1610713950754005017,1582,1610713950753678217,crazyflie/base_link,-1.5141798257827759,-0.5062976479530334,0.07275770604610443,0.00830262340605259,0.012453935109078884,-0.05396705120801926,0.9984305500984192
1610713950760778016,1583,1610713950760571955,crazyflie/base_link,-1.513549566268921,-0.507451057434082,0.08439242839813232,0.005535082425922155,0.012453935109078884,-0.05258328467607498,0.9985235333442688
1610713950775482799,1584,1610713950775217286,crazyflie/base_link,-1.515459656715393,-0.5123471021652222,0.07003981620073318,0.0,0.009686394594609737,-0.05119951069355011,0.9986414909362793
1610713950782271380,1585,1610713950781991669,crazyflie/base_link,-1.5130268335342407,-0.5090044140815735,0.07657444477081299,-0.0027675412129610777,0.01107016485184431,-0.05258328467607498,0.9985513091087341
